Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Option4 Name,Option4 Value,Option5 Name,Option5 Value,Variant SKU,Variant Price,Variant Compare At Price,Body (HTML),Published
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.00,Ring Size,5,DEMO-Silver-1.00-5,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.00,Ring Size,6,DEMO-Silver-1.00-6,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.00,Ring Size,7,DEMO-Silver-1.00-7,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.00,Ring Size,8,DEMO-Silver-1.00-8,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.00,Ring Size,9,DEMO-Silver-1.00-9,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.70,Ring Size,5,DEMO-Silver-1.70-5,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.70,Ring Size,6,DEMO-Silver-1.70-6,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.70,Ring Size,7,DEMO-Silver-1.70-7,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.70,Ring Size,8,DEMO-Silver-1.70-8,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
nature-inspired-dutch-marquise-demo,Nature Inspired Engagement Ring Using Dutch Marquise Diamond (Demo),Metal Type,Silver,Karat,Standard,Metal Color,Standard,Diamond Size,1.70,Ring Size,9,DEMO-Silver-1.70-9,99400,142100,<p>Demo product for PDP variant UI.</p>,TRUE
